Image name,x1,y1,z1,x2,y2,z2
A,1320,1616,1,1369,1842,1
B,2366,2000,1,2569,2063,1
C,2479,1920,1,2617,1982,1
D,2782,1345,1,2913,1442,1
E,3102,1429,1,3208,1489,1
F,2753,1527,1,2889,1603,1
G,3057,1620,1,3179,1656,1
H,1782,1187,1,1929,1379,1
,1354.866667,1628.8,1,1409,1849.366667,1
,1389.733333,1641.6,1,1449,1856.733333,1
,1424.6,1654.4,1,1489,1864.1,1
,1459.466667,1667.2,1,1529,1871.466667,1
,1494.333333,1680,1,1569,1878.833333,1
,1529.2,1692.8,1,1609,1886.2,1
,1564.066667,1705.6,1,1649,1893.566667,1
,1598.933333,1718.4,1,1689,1900.933333,1
,1633.8,1731.2,1,1729,1908.3,1
,1668.666667,1744,1,1769,1915.666667,1
,1703.533333,1756.8,1,1809,1923.033333,1
,1738.4,1769.6,1,1849,1930.4,1
,1773.266667,1782.4,1,1889,1937.766667,1
,1808.133333,1795.2,1,1929,1945.133333,1
,1843,1808,1,1969,1952.5,1
,1877.866667,1820.8,1,2009,1959.866667,1
,1912.733333,1833.6,1,2049,1967.233333,1
,1947.6,1846.4,1,2089,1974.6,1
,1982.466667,1859.2,1,2129,1981.966667,1
,2017.333333,1872,1,2169,1989.333333,1
,2052.2,1884.8,1,2209,1996.7,1
,2087.066667,1897.6,1,2249,2004.066667,1
,2121.933333,1910.4,1,2289,2011.433333,1
,2156.8,1923.2,1,2329,2018.8,1
,2191.666667,1936,1,2369,2026.166667,1
,2226.533333,1948.8,1,2409,2033.533333,1
,2261.4,1961.6,1,2449,2040.9,1
,2296.266667,1974.4,1,2489,2048.266667,1
,2331.133333,1987.2,1,2529,2055.633333,1
,2366,2000,1,2569,2063,1
,2369.766667,1997.333333,1,2570.6,2060.3,1
,2373.533333,1994.666667,1,2572.2,2057.6,1
,2377.3,1992,1,2573.8,2054.9,1
,2381.066667,1989.333333,1,2575.4,2052.2,1
,2384.833333,1986.666667,1,2577,2049.5,1
,2388.6,1984,1,2578.6,2046.8,1
,2392.366667,1981.333333,1,2580.2,2044.1,1
,2396.133333,1978.666667,1,2581.8,2041.4,1
,2399.9,1976,1,2583.4,2038.7,1
,2403.666667,1973.333333,1,2585,2036,1
,2407.433333,1970.666667,1,2586.6,2033.3,1
,2411.2,1968,1,2588.2,2030.6,1
,2414.966667,1965.333333,1,2589.8,2027.9,1
,2418.733333,1962.666667,1,2591.4,2025.2,1
,2422.5,1960,1,2593,2022.5,1
,2426.266667,1957.333333,1,2594.6,2019.8,1
,2430.033333,1954.666667,1,2596.2,2017.1,1
,2433.8,1952,1,2597.8,2014.4,1
,2437.566667,1949.333333,1,2599.4,2011.7,1
,2441.333333,1946.666667,1,2601,2009,1
,2445.1,1944,1,2602.6,2006.3,1
,2448.866667,1941.333333,1,2604.2,2003.6,1
,2452.633333,1938.666667,1,2605.8,2000.9,1
,2456.4,1936,1,2607.4,1998.2,1
,2460.166667,1933.333333,1,2609,1995.5,1
,2463.933333,1930.666667,1,2610.6,1992.8,1
,2467.7,1928,1,2612.2,1990.1,1
,2471.466667,1925.333333,1,2613.8,1987.4,1
,2475.233333,1922.666667,1,2615.4,1984.7,1
,2479,1920,1,2617,1982,1
,2792.666667,1347.8,1,2922.833333,1443.566667,1
,2803.333333,1350.6,1,2932.666667,1445.133333,1
,2814,1353.4,1,2942.5,1446.7,1
,2824.666667,1356.2,1,2952.333333,1448.266667,1
,2835.333333,1359,1,2962.166667,1449.833333,1
,2846,1361.8,1,2972,1451.4,1
,2856.666667,1364.6,1,2981.833333,1452.966667,1
,2867.333333,1367.4,1,2991.666667,1454.533333,1
,2878,1370.2,1,3001.5,1456.1,1
,2888.666667,1373,1,3011.333333,1457.666667,1
,2899.333333,1375.8,1,3021.166667,1459.233333,1
,2910,1378.6,1,3031,1460.8,1
,2920.666667,1381.4,1,3040.833333,1462.366667,1
,2931.333333,1384.2,1,3050.666667,1463.933333,1
,2942,1387,1,3060.5,1465.5,1
,2952.666667,1389.8,1,3070.333333,1467.066667,1
,2963.333333,1392.6,1,3080.166667,1468.633333,1
,2974,1395.4,1,3090,1470.2,1
,2984.666667,1398.2,1,3099.833333,1471.766667,1
,2995.333333,1401,1,3109.666667,1473.333333,1
,3006,1403.8,1,3119.5,1474.9,1
,3016.666667,1406.6,1,3129.333333,1476.466667,1
,3027.333333,1409.4,1,3139.166667,1478.033333,1
,3038,1412.2,1,3149,1479.6,1
,3048.666667,1415,1,3158.833333,1481.166667,1
,3059.333333,1417.8,1,3168.666667,1482.733333,1
,3070,1420.6,1,3178.5,1484.3,1
,3080.666667,1423.4,1,3188.333333,1485.866667,1
,3091.333333,1426.2,1,3198.166667,1487.433333,1
,3102,1429,1,3208,1489,1
,3090.366667,1432.266667,1,3197.366667,1492.8,1
,3078.733333,1435.533333,1,3186.733333,1496.6,1
,3067.1,1438.8,1,3176.1,1500.4,1
,3055.466667,1442.066667,1,3165.466667,1504.2,1
,3043.833333,1445.333333,1,3154.833333,1508,1
,3032.2,1448.6,1,3144.2,1511.8,1
,3020.566667,1451.866667,1,3133.566667,1515.6,1
,3008.933333,1455.133333,1,3122.933333,1519.4,1
,2997.3,1458.4,1,3112.3,1523.2,1
,2985.666667,1461.666667,1,3101.666667,1527,1
,2974.033333,1464.933333,1,3091.033333,1530.8,1
,2962.4,1468.2,1,3080.4,1534.6,1
,2950.766667,1471.466667,1,3069.766667,1538.4,1
,2939.133333,1474.733333,1,3059.133333,1542.2,1
,2927.5,1478,1,3048.5,1546,1
,2915.866667,1481.266667,1,3037.866667,1549.8,1
,2904.233333,1484.533333,1,3027.233333,1553.6,1
,2892.6,1487.8,1,3016.6,1557.4,1
,2880.966667,1491.066667,1,3005.966667,1561.2,1
,2869.333333,1494.333333,1,2995.333333,1565,1
,2857.7,1497.6,1,2984.7,1568.8,1
,2846.066667,1500.866667,1,2974.066667,1572.6,1
,2834.433333,1504.133333,1,2963.433333,1576.4,1
,2822.8,1507.4,1,2952.8,1580.2,1
,2811.166667,1510.666667,1,2942.166667,1584,1
,2799.533333,1513.933333,1,2931.533333,1587.8,1
,2787.9,1517.2,1,2920.9,1591.6,1
,2776.266667,1520.466667,1,2910.266667,1595.4,1
,2764.633333,1523.733333,1,2899.633333,1599.2,1
,2753,1527,1,2889,1603,1
,2763.133333,1530.1,1,2898.666667,1604.766667,1
,2773.266667,1533.2,1,2908.333333,1606.533333,1
,2783.4,1536.3,1,2918,1608.3,1
,2793.533333,1539.4,1,2927.666667,1610.066667,1
,2803.666667,1542.5,1,2937.333333,1611.833333,1
,2813.8,1545.6,1,2947,1613.6,1
,2823.933333,1548.7,1,2956.666667,1615.366667,1
,2834.066667,1551.8,1,2966.333333,1617.133333,1
,2844.2,1554.9,1,2976,1618.9,1
,2854.333333,1558,1,2985.666667,1620.666667,1
,2864.466667,1561.1,1,2995.333333,1622.433333,1
,2874.6,1564.2,1,3005,1624.2,1
,2884.733333,1567.3,1,3014.666667,1625.966667,1
,2894.866667,1570.4,1,3024.333333,1627.733333,1
,2905,1573.5,1,3034,1629.5,1
,2915.133333,1576.6,1,3043.666667,1631.266667,1
,2925.266667,1579.7,1,3053.333333,1633.033333,1
,2935.4,1582.8,1,3063,1634.8,1
,2945.533333,1585.9,1,3072.666667,1636.566667,1
,2955.666667,1589,1,3082.333333,1638.333333,1
,2965.8,1592.1,1,3092,1640.1,1
,2975.933333,1595.2,1,3101.666667,1641.866667,1
,2986.066667,1598.3,1,3111.333333,1643.633333,1
,2996.2,1601.4,1,3121,1645.4,1
,3006.333333,1604.5,1,3130.666667,1647.166667,1
,3016.466667,1607.6,1,3140.333333,1648.933333,1
,3026.6,1610.7,1,3150,1650.7,1
,3036.733333,1613.8,1,3159.666667,1652.466667,1
,3046.866667,1616.9,1,3169.333333,1654.233333,1
,3057,1620,1,3179,1656,1
,3047.833333,1610.833333,1,3170.133333,1648.866667,1
,3038.666667,1601.666667,1,3161.266667,1641.733333,1
,3029.5,1592.5,1,3152.4,1634.6,1
,3020.333333,1583.333333,1,3143.533333,1627.466667,1
,3011.166667,1574.166667,1,3134.666667,1620.333333,1
,3002,1565,1,3125.8,1613.2,1
,2992.833333,1555.833333,1,3116.933333,1606.066667,1
,2983.666667,1546.666667,1,3108.066667,1598.933333,1
,2974.5,1537.5,1,3099.2,1591.8,1
,2965.333333,1528.333333,1,3090.333333,1584.666667,1
,2956.166667,1519.166667,1,3081.466667,1577.533333,1
,2947,1510,1,3072.6,1570.4,1
